,state,district,category,type,date,crimes
0,Johor,Batu Pahat,assault,causing_injury,2016,39
1,Johor,Batu Pahat,assault,causing_injury,2017,41
2,Johor,Batu Pahat,assault,causing_injury,2018,28
3,Johor,Batu Pahat,assault,causing_injury,2019,41
4,Johor,Batu Pahat,assault,causing_injury,2020,43
5,Johor,Batu Pahat,assault,causing_injury,2021,22
6,Johor,Batu Pahat,assault,causing_injury,2022,19
7,Johor,Batu Pahat,assault,causing_injury,2023,22
8,Johor,Batu Pahat,assault,murder,2016,6
9,Johor,Batu Pahat,assault,murder,2017,0
10,Johor,Batu Pahat,assault,murder,2018,3
11,Johor,Batu Pahat,assault,murder,2019,3
12,Johor,Batu Pahat,assault,murder,2020,3
13,Johor,Batu Pahat,assault,murder,2021,0
14,Johor,Batu Pahat,assault,murder,2022,3
15,Johor,Batu Pahat,assault,murder,2023,4
16,Johor,Batu Pahat,assault,rape,2016,29
17,Johor,Batu Pahat,assault,rape,2017,23
18,Johor,Batu Pahat,assault,rape,2018,13
19,Johor,Batu Pahat,assault,rape,2019,29
20,Johor,Batu Pahat,assault,rape,2020,16
21,Johor,Batu Pahat,assault,rape,2021,18
22,Johor,Batu Pahat,assault,rape,2022,13
23,Johor,Batu Pahat,assault,rape,2023,19
24,Johor,Batu Pahat,assault,robbery_gang_armed,2016,1
25,Johor,Batu Pahat,assault,robbery_gang_armed,2017,0
26,Johor,Batu Pahat,assault,robbery_gang_armed,2018,0
27,Johor,Batu Pahat,assault,robbery_gang_armed,2019,0
28,Johor,Batu Pahat,assault,robbery_gang_armed,2020,0
29,Johor,Batu Pahat,assault,robbery_gang_armed,2021,0
30,Johor,Batu Pahat,assault,robbery_gang_armed,2022,0
31,Johor,Batu Pahat,assault,robbery_gang_armed,2023,0
32,Johor,Batu Pahat,assault,robbery_gang_unarmed,2016,56
33,Johor,Batu Pahat,assault,robbery_gang_unarmed,2017,47
34,Johor,Batu Pahat,assault,robbery_gang_unarmed,2018,33
35,Johor,Batu Pahat,assault,robbery_gang_unarmed,2019,37
36,Johor,Batu Pahat,assault,robbery_gang_unarmed,2020,32
37,Johor,Batu Pahat,assault,robbery_gang_unarmed,2021,9
38,Johor,Batu Pahat,assault,robbery_gang_unarmed,2022,5
39,Johor,Batu Pahat,assault,robbery_gang_unarmed,2023,16
40,Johor,Batu Pahat,assault,robbery_solo_armed,2016,1
41,Johor,Batu Pahat,assault,robbery_solo_armed,2017,0
42,Johor,Batu Pahat,assault,robbery_solo_armed,2018,0
43,Johor,Batu Pahat,assault,robbery_solo_armed,2019,0
44,Johor,Batu Pahat,assault,robbery_solo_armed,2020,0
45,Johor,Batu Pahat,assault,robbery_solo_armed,2021,0
46,Johor,Batu Pahat,assault,robbery_solo_armed,2022,0
47,Johor,Batu Pahat,assault,robbery_solo_armed,2023,0
48,Johor,Batu Pahat,assault,robbery_solo_unarmed,2016,28
49,Johor,Batu Pahat,assault,robbery_solo_unarmed,2017,12
50,Johor,Batu Pahat,assault,robbery_solo_unarmed,2018,27
51,Johor,Batu Pahat,assault,robbery_solo_unarmed,2019,29
52,Johor,Batu Pahat,assault,robbery_solo_unarmed,2020,33
53,Johor,Batu Pahat,assault,robbery_solo_unarmed,2021,11
54,Johor,Batu Pahat,assault,robbery_solo_unarmed,2022,12
55,Johor,Batu Pahat,assault,robbery_solo_unarmed,2023,27
56,Johor,Batu Pahat,property,break_in,2016,115
57,Johor,Batu Pahat,property,break_in,2017,90
58,Johor,Batu Pahat,property,break_in,2018,158
59,Johor,Batu Pahat,property,break_in,2019,157
60,Johor,Batu Pahat,property,break_in,2020,122
61,Johor,Batu Pahat,property,break_in,2021,55
62,Johor,Batu Pahat,property,break_in,2022,80
63,Johor,Batu Pahat,property,break_in,2023,87
64,Johor,Batu Pahat,property,theft_other,2016,192
65,Johor,Batu Pahat,property,theft_other,2017,119
66,Johor,Batu Pahat,property,theft_other,2018,140
67,Johor,Batu Pahat,property,theft_other,2019,127
68,Johor,Batu Pahat,property,theft_other,2020,122
69,Johor,Batu Pahat,property,theft_other,2021,72
70,Johor,Batu Pahat,property,theft_other,2022,83
71,Johor,Batu Pahat,property,theft_other,2023,109
72,Johor,Batu Pahat,property,theft_vehicle_lorry,2016,16
73,Johor,Batu Pahat,property,theft_vehicle_lorry,2017,10
74,Johor,Batu Pahat,property,theft_vehicle_lorry,2018,15
75,Johor,Batu Pahat,property,theft_vehicle_lorry,2019,4
76,Johor,Batu Pahat,property,theft_vehicle_lorry,2020,12
77,Johor,Batu Pahat,property,theft_vehicle_lorry,2021,2
78,Johor,Batu Pahat,property,theft_vehicle_lorry,2022,7
